1. get_forall (GOAL: {forall (u), u ∈ RealSet => (forall (v), v ∈ RealSet => (forall (x), x ∈ RealSet => (forall (y), x ∈ RealSet /\ y ∈ RealSet /\ |x| <= 1 /\ |y| <= 1 /\ u = arcsin(x) + arcsin(y) /\ v = arcsin(x * sqrtn(2, 1 - y^{2}) + y * sqrtn(2, 1 - x^{2})) /\ x > 0 /\ y > 0 /\ x^{2} + y^{2} > 1 => arcsin(x) + arcsin(y) = π - arcsin(x * sqrtn(2, 1 - y^{2}) + y * sqrtn(2, 1 - x^{2})))))}) (u := {u0})
2. get_condition (hypothesis 31: {u0 ∈ RealSet}) in (GOAL: {u0 ∈ RealSet => forall (v), v ∈ RealSet => (forall (x), x ∈ RealSet => (forall (y), x ∈ RealSet /\ y ∈ RealSet /\ |x| <= 1 /\ |y| <= 1 /\ u0 = arcsin(x) + arcsin(y) /\ v = arcsin(x * sqrtn(2, 1 - y^{2}) + y * sqrtn(2, 1 - x^{2})) /\ x > 0 /\ y > 0 /\ x^{2} + y^{2} > 1 => arcsin(x) + arcsin(y) = π - arcsin(x * sqrtn(2, 1 - y^{2}) + y * sqrtn(2, 1 - x^{2}))))})
3. get_forall (GOAL: {forall (v), v ∈ RealSet => (forall (x), x ∈ RealSet => (forall (y), x ∈ RealSet /\ y ∈ RealSet /\ |x| <= 1 /\ |y| <= 1 /\ u0 = arcsin(x) + arcsin(y) /\ v = arcsin(x * sqrtn(2, 1 - y^{2}) + y * sqrtn(2, 1 - x^{2})) /\ x > 0 /\ y > 0 /\ x^{2} + y^{2} > 1 => arcsin(x) + arcsin(y) = π - arcsin(x * sqrtn(2, 1 - y^{2}) + y * sqrtn(2, 1 - x^{2}))))}) (v := {v0})
4. get_condition (hypothesis 32: {v0 ∈ RealSet}) in (GOAL: {v0 ∈ RealSet => forall (x), x ∈ RealSet => (forall (y), x ∈ RealSet /\ y ∈ RealSet /\ |x| <= 1 /\ |y| <= 1 /\ u0 = arcsin(x) + arcsin(y) /\ v0 = arcsin(x * sqrtn(2, 1 - y^{2}) + y * sqrtn(2, 1 - x^{2})) /\ x > 0 /\ y > 0 /\ x^{2} + y^{2} > 1 => arcsin(x) + arcsin(y) = π - arcsin(x * sqrtn(2, 1 - y^{2}) + y * sqrtn(2, 1 - x^{2})))})
5. get_forall (GOAL: {forall (x), x ∈ RealSet => (forall (y), x ∈ RealSet /\ y ∈ RealSet /\ |x| <= 1 /\ |y| <= 1 /\ u0 = arcsin(x) + arcsin(y) /\ v0 = arcsin(x * sqrtn(2, 1 - y^{2}) + y * sqrtn(2, 1 - x^{2})) /\ x > 0 /\ y > 0 /\ x^{2} + y^{2} > 1 => arcsin(x) + arcsin(y) = π - arcsin(x * sqrtn(2, 1 - y^{2}) + y * sqrtn(2, 1 - x^{2})))}) (x := {x0})
6. get_condition (hypothesis 33: {x0 ∈ RealSet}) in (GOAL: {x0 ∈ RealSet => forall (y), x0 ∈ RealSet /\ y ∈ RealSet /\ |x0| <= 1 /\ |y| <= 1 /\ u0 = arcsin(x0) + arcsin(y) /\ v0 = arcsin(x0 * sqrtn(2, 1 - y^{2}) + y * sqrtn(2, 1 - x0^{2})) /\ x0 > 0 /\ y > 0 /\ x0^{2} + y^{2} > 1 => arcsin(x0) + arcsin(y) = π - arcsin(x0 * sqrtn(2, 1 - y^{2}) + y * sqrtn(2, 1 - x0^{2}))})
7. get_forall (GOAL: {forall (y), x0 ∈ RealSet /\ y ∈ RealSet /\ |x0| <= 1 /\ |y| <= 1 /\ u0 = arcsin(x0) + arcsin(y) /\ v0 = arcsin(x0 * sqrtn(2, 1 - y^{2}) + y * sqrtn(2, 1 - x0^{2})) /\ x0 > 0 /\ y > 0 /\ x0^{2} + y^{2} > 1 => arcsin(x0) + arcsin(y) = π - arcsin(x0 * sqrtn(2, 1 - y^{2}) + y * sqrtn(2, 1 - x0^{2}))}) (y := {y0})
8. get_condition (hypothesis 34: {x0 ∈ RealSet /\ y0 ∈ RealSet /\ |x0| <= 1 /\ |y0| <= 1 /\ u0 = arcsin(x0) + arcsin(y0) /\ v0 = arcsin(x0 * sqrtn(2, 1 - y0^{2}) + y0 * sqrtn(2, 1 - x0^{2})) /\ x0 > 0 /\ y0 > 0 /\ x0^{2} + y0^{2} > 1}) in (GOAL: {x0 ∈ RealSet /\ y0 ∈ RealSet /\ |x0| <= 1 /\ |y0| <= 1 /\ u0 = arcsin(x0) + arcsin(y0) /\ v0 = arcsin(x0 * sqrtn(2, 1 - y0^{2}) + y0 * sqrtn(2, 1 - x0^{2})) /\ x0 > 0 /\ y0 > 0 /\ x0^{2} + y0^{2} > 1 => arcsin(x0) + arcsin(y0) = π - arcsin(x0 * sqrtn(2, 1 - y0^{2}) + y0 * sqrtn(2, 1 - x0^{2}))})
9. get_prop (hypothesis 29: {forall (u), u ∈ RealSet => (forall (v), v ∈ RealSet => (forall (x), x ∈ RealSet => (forall (y), x ∈ RealSet /\ y ∈ RealSet /\ |x| <= 1 /\ |y| <= 1 /\ u = arcsin(x) + arcsin(y) /\ v = arcsin(x * sqrtn(2, 1 - y^{2}) + y * sqrtn(2, 1 - x^{2})) /\ x > 0 /\ y > 0 /\ x^{2} + y^{2} > 1 => u = π - v)))}) (u := {u0}) as (hypothesis 35: {u0 ∈ RealSet => forall (v), v ∈ RealSet => (forall (x), x ∈ RealSet => (forall (y), x ∈ RealSet /\ y ∈ RealSet /\ |x| <= 1 /\ |y| <= 1 /\ u0 = arcsin(x) + arcsin(y) /\ v = arcsin(x * sqrtn(2, 1 - y^{2}) + y * sqrtn(2, 1 - x^{2})) /\ x > 0 /\ y > 0 /\ x^{2} + y^{2} > 1 => u0 = π - v))})
10. use_condition (hypothesis 31: {u0 ∈ RealSet}) in (hypothesis 35: {u0 ∈ RealSet => forall (v), v ∈ RealSet => (forall (x), x ∈ RealSet => (forall (y), x ∈ RealSet /\ y ∈ RealSet /\ |x| <= 1 /\ |y| <= 1 /\ u0 = arcsin(x) + arcsin(y) /\ v = arcsin(x * sqrtn(2, 1 - y^{2}) + y * sqrtn(2, 1 - x^{2})) /\ x > 0 /\ y > 0 /\ x^{2} + y^{2} > 1 => u0 = π - v))}) as (hypothesis 36: {forall (v), v ∈ RealSet => (forall (x), x ∈ RealSet => (forall (y), x ∈ RealSet /\ y ∈ RealSet /\ |x| <= 1 /\ |y| <= 1 /\ u0 = arcsin(x) + arcsin(y) /\ v = arcsin(x * sqrtn(2, 1 - y^{2}) + y * sqrtn(2, 1 - x^{2})) /\ x > 0 /\ y > 0 /\ x^{2} + y^{2} > 1 => u0 = π - v))})
11. get_prop (hypothesis 36: {forall (v), v ∈ RealSet => (forall (x), x ∈ RealSet => (forall (y), x ∈ RealSet /\ y ∈ RealSet /\ |x| <= 1 /\ |y| <= 1 /\ u0 = arcsin(x) + arcsin(y) /\ v = arcsin(x * sqrtn(2, 1 - y^{2}) + y * sqrtn(2, 1 - x^{2})) /\ x > 0 /\ y > 0 /\ x^{2} + y^{2} > 1 => u0 = π - v))}) (v := {v0}) as (hypothesis 37: {v0 ∈ RealSet => forall (x), x ∈ RealSet => (forall (y), x ∈ RealSet /\ y ∈ RealSet /\ |x| <= 1 /\ |y| <= 1 /\ u0 = arcsin(x) + arcsin(y) /\ v0 = arcsin(x * sqrtn(2, 1 - y^{2}) + y * sqrtn(2, 1 - x^{2})) /\ x > 0 /\ y > 0 /\ x^{2} + y^{2} > 1 => u0 = π - v0)})
12. use_condition (hypothesis 32: {v0 ∈ RealSet}) in (hypothesis 37: {v0 ∈ RealSet => forall (x), x ∈ RealSet => (forall (y), x ∈ RealSet /\ y ∈ RealSet /\ |x| <= 1 /\ |y| <= 1 /\ u0 = arcsin(x) + arcsin(y) /\ v0 = arcsin(x * sqrtn(2, 1 - y^{2}) + y * sqrtn(2, 1 - x^{2})) /\ x > 0 /\ y > 0 /\ x^{2} + y^{2} > 1 => u0 = π - v0)}) as (hypothesis 38: {forall (x), x ∈ RealSet => (forall (y), x ∈ RealSet /\ y ∈ RealSet /\ |x| <= 1 /\ |y| <= 1 /\ u0 = arcsin(x) + arcsin(y) /\ v0 = arcsin(x * sqrtn(2, 1 - y^{2}) + y * sqrtn(2, 1 - x^{2})) /\ x > 0 /\ y > 0 /\ x^{2} + y^{2} > 1 => u0 = π - v0)})
13. get_prop (hypothesis 38: {forall (x), x ∈ RealSet => (forall (y), x ∈ RealSet /\ y ∈ RealSet /\ |x| <= 1 /\ |y| <= 1 /\ u0 = arcsin(x) + arcsin(y) /\ v0 = arcsin(x * sqrtn(2, 1 - y^{2}) + y * sqrtn(2, 1 - x^{2})) /\ x > 0 /\ y > 0 /\ x^{2} + y^{2} > 1 => u0 = π - v0)}) (x := {x0}) as (hypothesis 39: {x0 ∈ RealSet => forall (y), x0 ∈ RealSet /\ y ∈ RealSet /\ |x0| <= 1 /\ |y| <= 1 /\ u0 = arcsin(x0) + arcsin(y) /\ v0 = arcsin(x0 * sqrtn(2, 1 - y^{2}) + y * sqrtn(2, 1 - x0^{2})) /\ x0 > 0 /\ y > 0 /\ x0^{2} + y^{2} > 1 => u0 = π - v0})
14. use_condition (hypothesis 33: {x0 ∈ RealSet}) in (hypothesis 39: {x0 ∈ RealSet => forall (y), x0 ∈ RealSet /\ y ∈ RealSet /\ |x0| <= 1 /\ |y| <= 1 /\ u0 = arcsin(x0) + arcsin(y) /\ v0 = arcsin(x0 * sqrtn(2, 1 - y^{2}) + y * sqrtn(2, 1 - x0^{2})) /\ x0 > 0 /\ y > 0 /\ x0^{2} + y^{2} > 1 => u0 = π - v0}) as (hypothesis 40: {forall (y), x0 ∈ RealSet /\ y ∈ RealSet /\ |x0| <= 1 /\ |y| <= 1 /\ u0 = arcsin(x0) + arcsin(y) /\ v0 = arcsin(x0 * sqrtn(2, 1 - y^{2}) + y * sqrtn(2, 1 - x0^{2})) /\ x0 > 0 /\ y > 0 /\ x0^{2} + y^{2} > 1 => u0 = π - v0})
15. get_prop (hypothesis 40: {forall (y), x0 ∈ RealSet /\ y ∈ RealSet /\ |x0| <= 1 /\ |y| <= 1 /\ u0 = arcsin(x0) + arcsin(y) /\ v0 = arcsin(x0 * sqrtn(2, 1 - y^{2}) + y * sqrtn(2, 1 - x0^{2})) /\ x0 > 0 /\ y > 0 /\ x0^{2} + y^{2} > 1 => u0 = π - v0}) (y := {y0}) as (hypothesis 41: {x0 ∈ RealSet /\ y0 ∈ RealSet /\ |x0| <= 1 /\ |y0| <= 1 /\ u0 = arcsin(x0) + arcsin(y0) /\ v0 = arcsin(x0 * sqrtn(2, 1 - y0^{2}) + y0 * sqrtn(2, 1 - x0^{2})) /\ x0 > 0 /\ y0 > 0 /\ x0^{2} + y0^{2} > 1 => u0 = π - v0})
16. use_condition (hypothesis 34: {x0 ∈ RealSet /\ y0 ∈ RealSet /\ |x0| <= 1 /\ |y0| <= 1 /\ u0 = arcsin(x0) + arcsin(y0) /\ v0 = arcsin(x0 * sqrtn(2, 1 - y0^{2}) + y0 * sqrtn(2, 1 - x0^{2})) /\ x0 > 0 /\ y0 > 0 /\ x0^{2} + y0^{2} > 1}) in (hypothesis 41: {x0 ∈ RealSet /\ y0 ∈ RealSet /\ |x0| <= 1 /\ |y0| <= 1 /\ u0 = arcsin(x0) + arcsin(y0) /\ v0 = arcsin(x0 * sqrtn(2, 1 - y0^{2}) + y0 * sqrtn(2, 1 - x0^{2})) /\ x0 > 0 /\ y0 > 0 /\ x0^{2} + y0^{2} > 1 => u0 = π - v0}) as (hypothesis 42: {u0 = π - v0})
17. destruct_and (hypothesis 34: {x0 ∈ RealSet /\ y0 ∈ RealSet /\ |x0| <= 1 /\ |y0| <= 1 /\ u0 = arcsin(x0) + arcsin(y0) /\ v0 = arcsin(x0 * sqrtn(2, 1 - y0^{2}) + y0 * sqrtn(2, 1 - x0^{2})) /\ x0 > 0 /\ y0 > 0 /\ x0^{2} + y0^{2} > 1}) as (hypothesis 43: {x0 ∈ RealSet}) (hypothesis 44: {y0 ∈ RealSet}) (hypothesis 45: {|x0| <= 1}) (hypothesis 46: {|y0| <= 1}) (hypothesis 47: {u0 = arcsin(x0) + arcsin(y0)}) (hypothesis 48: {v0 = arcsin(x0 * sqrtn(2, 1 - y0^{2}) + y0 * sqrtn(2, 1 - x0^{2}))}) (hypothesis 49: {x0 > 0}) (hypothesis 50: {y0 > 0}) (hypothesis 51: {x0^{2} + y0^{2} > 1})
18. autosolve all_hypothesis
